country,2008
Afghanistan,1.44
Angola,1.46
Albania,0
UAE,0
Argentina,0
Armenia,0
Australia,0
Austria,0
Azerbaijan,0.0241
Burundi,1.78
Belgium,0
Benin,0.287
Burkina Faso,0.0486
Bangladesh,0.473
Bulgaria,0
Bahrain,0
Bahamas,0
Bosnia and Herzegovina,0
Belarus,0
Belize,0
Bolivia,0
Brazil,0
Barbados,0
Brunei,0
Bhutan,0
Botswana,0
Central African Republic,0.00649
Canada,0
Switzerland,0
Chile,0
China,0.0257
Cote d'Ivoire,0.00138
Cameroon,1.02
"Congo, Dem. Rep.",1.42
"Congo, Rep.",0
Colombia,0
Comoros,0
Cape Verde,1.66
Costa Rica,0
Cuba,0
Cyprus,0
Czech Republic,0
Germany,0
Djibouti,0.207
Denmark,0
Dominican Republic,0
Algeria,0.308
Ecuador,0
Egypt,0.0769
Eritrea,0.923
Spain,0
Estonia,0
Ethiopia,0.0605
Finland,0
Fiji,0
France,0
"Micronesia, Fed. Sts.",0
Gabon,0.683
UK,0
Georgia,0
Ghana,1.47
Guinea,4.66
Gambia,0.966
Guinea-Bissau,4.46
Equatorial Guinea,13.1
Greece,0
Grenada,0
Guatemala,0
Guyana,0
Honduras,0
Croatia,0
Haiti,0
Hungary,0
Indonesia,0.129
India,3.02
Ireland,0
Iran,0
Iraq,0.104
Iceland,0
Israel,0
Italy,0
Jamaica,0
Jordan,0
Japan,0
Kazakhstan,0.00329
Kenya,1.04
Kyrgyz Republic,0
Cambodia,0.476
South Korea,0
Kuwait,0
Lao,1.86
Lebanon,0.0607
Liberia,2.65
Libya,0
St. Lucia,0
Sri Lanka,0.0903
Lesotho,0
Lithuania,0
Luxembourg,0
Latvia,0
Morocco,0.00464
Moldova,0
Madagascar,0
Maldives,0
Mexico,0
North Macedonia,0
Mali,0.0166
Malta,0
Myanmar,0.401
Montenegro,0
Mongolia,0
Mozambique,0
Mauritania,0
Mauritius,0
Malawi,0
Malaysia,0.0163
Namibia,2.69
Niger,0.134
Nigeria,0.117
Nicaragua,0
Netherlands,0
Norway,0
Nepal,0.101
New Zealand,0
Oman,0
Pakistan,0.0515
Panama,0
Peru,0
Philippines,0.0966
Papua New Guinea,1.38
Poland,0
North Korea,0
Portugal,0
Paraguay,0
Qatar,0
Romania,0
Russia,0
Rwanda,1.16
Saudi Arabia,0
Sudan,0.0054
Senegal,3.1
Singapore,0
Solomon Islands,0.193
Sierra Leone,9.08
El Salvador,0
Somalia,9.73
Serbia,0
Sao Tome and Principe,0.583
Suriname,0
Slovak Republic,0
Slovenia,0
Sweden,0
Eswatini,0
Syria,0.00169
Chad,0.01
Togo,0.094
Thailand,0.0154
Tajikistan,0.0259
Turkmenistan,0.00904
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0.0334
Tanzania,0
Uganda,2.77
Ukraine,0
Uruguay,0
USA,0.00023
Uzbekistan,0
St. Vincent and the Grenadines,0
Venezuela,0
Vietnam,0.252
Vanuatu,0.425
Samoa,0
Yemen,0.527
South Africa,0.00092
Zambia,0.737
Zimbabwe,7.1
